event_id,event_date,event_type,region,country,facility,supplier_id,supplier_tier,material_or_component,transport_mode,root_cause,severity_level,duration_days,lead_time_increase_days,shipment_delay_days,otd_drop_pct,inventory_doh_before,inventory_doh_after,production_downtime_hours,affected_skus,expedite_cost_usd,logistics_cost_increase_pct,revenue_at_risk_usd,financial_impact_usd,mitigation_action,business_continuity_status
EVT-001,2026-01-01,Natural Disaster,Asia,South Korea,Busan Electronics Plant,SUP-1031,Tier 1,Aluminum,Road,tsunami,Low,4,1,1,6,42,35,3,8,18559,14,23478,13775,Deploy disaster recovery plan,Stable
EVT-002,2026-01-05,Supplier Bankruptcy,Asia,Thailand,Bangkok Assembly Plant,SUP-1089,Tier 2,Semiconductors,Sea,cash-flow crisis,Low,4,1,3,10,32,30,9,9,3423,12,90284,29332,Emergency direct procurement,Stable with Monitoring
EVT-003,2026-01-07,Natural Disaster,Asia,South Korea,Busan Electronics Plant,SUP-1098,Tier 1,Aluminum,Rail,flooding,Medium,12,9,10,20,45,36,35,75,52460,23,517955,420575,Emergency inventory allocation,Stable with Monitoring
EVT-004,2026-01-09,Quality Failure,South America,Argentina,Buenos Aires Distribution Center,SUP-1087,Tier 1,Steel,Sea,defective batch,High,27,14,13,36,38,14,140,154,361740,42,1948158,1023389,Return to supplier,Severely At Risk
EVT-005,2026-01-13,Transport Disruption,North America,USA,Texas Distribution Center,SUP-1065,Tier 2,Steel,Rail,fuel shortage,High,28,19,13,42,57,37,157,252,345392,46,1127253,938603,Use alternate carrier,Severely At Risk
EVT-006,2026-01-16,Natural Disaster,North America,Canada,Toronto Distribution Center,SUP-1058,Tier 1,Semiconductors,Road,earthquake,Medium,6,10,9,21,25,16,21,77,46174,15,464019,206253,Reroute shipments,At Risk
EVT-007,2026-01-18,Labor Strike,Europe,Poland,Warsaw Assembly Plant,SUP-1010,Tier 2,Aluminum,Road,working-conditions protest,Low,4,2,3,13,26,19,9,14,8940,13,118994,81862,Cross-train employees,Stable with Monitoring
EVT-008,2026-01-21,Quality Failure,Middle East,Saudi Arabia,Riyadh Distribution Center,SUP-1031,Tier 1,Packaging,Sea,material substandard,Medium,8,4,6,16,33,15,26,38,29117,25,187149,104521,Expedite re-manufacturing,Stable with Monitoring
EVT-009,2026-01-23,Quality Failure,Europe,Netherlands,Rotterdam Distribution Center,SUP-1024,Tier 1,Rubber,Air,contamination,Medium,5,9,6,16,39,29,37,73,39322,22,250448,91194,Expedite re-manufacturing,Stable with Monitoring
EVT-010,2026-01-26,Quality Failure,Europe,Germany,Berlin Manufacturing Plant,SUP-1070,Tier 1,Plastics,Rail,defective batch,Critical,57,27,30,63,40,2,448,546,848260,77,5364169,4245555,Implement 100% inspection,At Risk
EVT-011,2026-01-29,Quality Failure,North America,Canada,Toronto Distribution Center,SUP-1019,Tier 1,Bearings,Road,material substandard,High,16,15,12,31,32,7,182,228,378463,35,719285,594465,Implement 100% inspection,At Risk
EVT-012,2026-01-31,Transport Disruption,Asia,Singapore,Singapore Logistics Hub,SUP-1074,Tier 2,Electronic Components,Sea,rail network failure,High,25,14,15,40,40,18,121,167,307505,34,1953713,840093,Use alternate carrier,Severely At Risk
EVT-013,2026-02-01,Natural Disaster,Middle East,UAE,Dubai Logistics Hub,SUP-1016,Tier 3,Aluminum,Rail,typhoon,Medium,12,10,9,15,53,44,54,100,64240,18,220407,90075,Emergency inventory allocation,At Risk
EVT-014,2026-02-04,Port Congestion,Africa,Morocco,Casablanca Distribution Center,SUP-1087,Tier 2,Semiconductors,Sea,container backlog,Critical,57,21,27,70,55,12,416,441,492456,50,4798075,3419451,Shift to air freight,At Risk
EVT-015,2026-02-08,Labor Strike,Asia,China,Shenzhen Manufacturing Plant,SUP-1069,Tier 1,Packaging,Road,working-conditions protest,Medium,5,6,10,16,53,39,34,56,57706,18,335429,240861,Activate contingency workforce,Stable with Monitoring
EVT-016,2026-02-10,Cyber Attack,South America,Brazil,Sao Paulo Manufacturing Plant,SUP-1094,Tier 3,Rubber,Rail,system breach,Medium,6,7,5,30,52,41,26,55,85332,26,310007,230124,Activate backup IT infrastructure,Stable with Monitoring
EVT-017,2026-02-12,Transport Disruption,North America,Canada,Toronto Distribution Center,SUP-1098,Tier 1,Plastics,Air,rail network failure,Medium,5,4,9,20,48,28,49,63,30014,18,462775,236356,Consolidate shipments,At Risk
EVT-018,2026-02-13,Transport Disruption,Middle East,UAE,Dubai Logistics Hub,SUP-1005,Tier 2,Steel,Air,rail network failure,High,21,15,18,32,51,18,144,259,264582,33,1229821,681657,Consolidate shipments,Severely At Risk
EVT-019,2026-02-16,Cyber Attack,Europe,Netherlands,Rotterdam Distribution Center,SUP-1086,Tier 2,Copper,Road,network outage,Medium,5,6,9,21,41,26,39,71,85946,29,381819,250235,Activate backup IT infrastructure,Stable with Monitoring
EVT-020,2026-02-19,Customs Delay,Asia,Thailand,Bangkok Assembly Plant,SUP-1086,Tier 1,Bearings,Sea,documentation errors,Medium,12,8,6,29,45,26,38,54,75328,30,359533,142515,Expedite air freight,Stable with Monitoring
EVT-021,2026-02-23,Port Congestion,Europe,United Kingdom,Birmingham Distribution Center,SUP-1006,Tier 2,Aluminum,Sea,container backlog,High,25,17,21,46,54,27,169,240,333787,35,1595464,829708,Reroute via road,Severely At Risk
EVT-022,2026-02-25,Supplier Bankruptcy,South America,Brazil,Sao Paulo Manufacturing Plant,SUP-1030,Tier 1,Packaging,Rail,cash-flow crisis,Low,2,4,2,8,21,18,1,14,15356,10,91121,48253,Build strategic inventory,Stable with Monitoring
