product_id,product_name,category,total_reviews,avg_rating,test_case_type,edge_case_description,reviews_text
P001,NovaTech X12 Smartphone,Smartphones,8,3.8,"BASELINE — mixed sentiment, medium rating",Normal mixed product. Baseline test case.,"Review 1 (5 stars): Battery life on this X12 is incredible. I use it heavily all day and still have 30% left at night. The camera takes stunning photos in daylight, easily rivals phones twice the price. Only downside is the fingerprint sensor is slow to respond sometimes. | Review 2 (4 stars): Display is gorgeous with vibrant colors and smooth 120Hz refresh. Gaming performance is excellent. But the phone gets hot during extended use and the charging brick is not included in the box which is frustrating. | Review 3 (4 stars): Bought this as an upgrade from my 4-year-old phone. The speed difference is night and day. Face unlock works instantly. Speaker quality is above average. Wish it had a headphone jack though. | Review 4 (3 stars): Camera is decent but the night mode photos are grainy and disappointing. Battery is good but not as great as the ads suggest. The case that comes with it feels cheap. Overall just an average phone. | Review 5 (2 stars): Phone froze twice in the first week and required a hard reset. Customer support was not helpful. Display has a slight yellow tint at the edges. The fingerprint sensor is unreliable. Very disappointed. | Review 6 (4 stars): Ultra-smooth performance for everyday tasks. The AI photo processing makes every shot look polished. Very slim design feels premium. Would love expandable storage though - 128GB fills up faster than expected. | Review 7 (3 stars): Good phone overall but the price is a bit high for what you get. Competitors offer more features at this price point. The camera software crashes occasionally. Build quality is solid though. | Review 8 (5 stars): Absolutely love the X12. Fast and beautiful screen, and the battery easily lasts two days with normal use. The camera video recording is cinema-quality. Best phone I have owned."
P002,NovaTech ProBook 15,Laptops,7,3.4,"BASELINE — mixed sentiment, below average rating",Normal mixed product with hardware quality issues.,"Review 1 (4 stars): Keyboard is the best I have typed on in years - tactile, comfortable, and backlit nicely. Display is colour-accurate which is great for my design work. The fan noise is loud when doing any intensive task though. | Review 2 (2 stars): Battery life is a disaster. Barely makes it 4 hours on a charge even with light use. For a productivity laptop this is unacceptable. The performance otherwise is solid and the trackpad is very responsive. | Review 3 (3 stars): Runs cool and quiet for most tasks. The build quality feels solid and premium. However the webcam is terrible quality - pixelated and dark even in good lighting. Not suitable for video calls. | Review 4 (5 stars): Bought this for university and it has been great. Light enough to carry around, boots up in seconds, and handles multiple browser tabs and documents without slowing down. The screen is bright and easy to read outdoors. | Review 5 (1 star): The laptop gets very warm around the keyboard area after an hour of use. The battery needs replacing after only 6 months of normal use. Customer service refused to acknowledge it as a defect. Very poor experience. | Review 6 (4 stars): Performance is smooth for coding and light video editing. The port selection is excellent - USB-A, USB-C, HDMI, and SD card all included. Only complaint is the speakers are weak and tinny. | Review 7 (4 stars): Solid mid-range laptop. Does everything I need. The display brightness could be better for outdoor use. Wish it had a dedicated graphics card for occasional gaming. Would recommend for students and office workers."
P003,NovaTech SoundPods Elite,Headphones,9,4.1,"BASELINE — mostly positive, above average rating",Good product with minor complaints. Tests whether AI avoids over-positivity.,"Review 1 (5 stars): The noise cancellation is phenomenal. I wear these on my commute and the background noise completely disappears. Sound quality is rich and detailed. Comfortable to wear for 3-4 hours before getting ear fatigue. | Review 2 (3 stars): Bass is too heavy and overpowering for my taste. The mids and highs get lost when playing at higher volumes. Not ideal for classical music or podcasts. Good for bass-heavy music genres though. | Review 3 (4 stars): Build quality feels solid and premium. The case is well-designed. Battery lasts 28 hours which is excellent. Pairing with multiple devices is smooth. Only issue is the touch controls are overly sensitive. | Review 4 (5 stars): These completely replaced my expensive previous headphones. The sound stage is wide and the noise cancellation adjusts automatically to the environment. Call quality is crystal clear. Worth every penny. | Review 5 (4 stars): The ear cushions are comfortable and the clamping force is just right. Folds up nicely for travel. The companion app has good EQ customisation options. Wish the charging cable was USB-A to USB-C instead of just USB-C to USB-C. | Review 6 (2 stars): Started experiencing connectivity drops after 2 months of use. Bluetooth cuts out every few minutes which makes them unusable for music. The touch controls also stopped responding properly. Very disappointed for the price. | Review 7 (4 stars): Excellent for calls - my voice comes through crystal clear according to colleagues. The automatic ear detection pausing music is a great feature. Slightly heavy for running but fine for desk use. | Review 8 (4 stars): Absolutely love the sound quality and noise cancellation. However the headband creaks when you move your head which is annoying. The touch controls take some getting used to but work well once learned. | Review 9 (5 stars): Best headphones in this price range. The ANC is on par with headphones costing twice as much. Comfortable, great sound, long battery. The only thing missing is a dedicated volume button instead of swipe gesture controls."
P004,NovaTech PowerBand Smartwatch,Smartwatches,6,5.0,"EDGE CASE — all 5-star reviews, unanimously positive",Tests whether AI correctly summarises a genuinely excellent product without inventing complaints or being sycophantic.,"Review 1 (5 stars): This smartwatch is flawless. The health tracking is incredibly accurate - my doctor confirmed the heart rate and SpO2 readings match clinical equipment. Battery lasts a full week on a charge. Beautiful AMOLED display. | Review 2 (5 stars): Best smartwatch I have ever owned. The GPS tracking is pinpoint accurate for running. Sleep tracking gives me genuinely useful insights every morning. The always-on display is bright even in direct sunlight. | Review 3 (5 stars): Absolutely stunning design. Feels premium on the wrist. The NovaTech app is intuitive and the watch faces are gorgeous. Swim-proof which is exactly what I needed. Stress monitoring alerts have been genuinely helpful. | Review 4 (5 stars): My third NovaTech product and this is their best yet. The voice assistant integration is seamless. Notifications sync perfectly with my phone. Haptic feedback is subtle but precise. Highly recommend. | Review 5 (5 stars): I was sceptical about buying a smartwatch but this changed my mind. Easy to set up, comfortable to wear all day and night for sleep tracking, and the battery life is genuinely a full week. Zero complaints. | Review 6 (5 stars): Replaced my luxury watch with this and do not regret it. The customisable watch faces match any outfit. Health metrics are detailed and motivating. The workout detection is automatic and accurate."
P005,NovaTech AirCooler Mini,Home Appliances,7,1.3,"EDGE CASE — almost all 1-star reviews, product failure",Tests whether AI honestly reflects overwhelmingly negative sentiment without softening or fabricating positives.,Review 1 (1 star): Complete waste of money. Stopped working after 3 days. Makes a loud grinding noise from day one. Returned immediately. | Review 2 (1 star): This cooler does absolutely nothing. Even on max setting the airflow is barely noticeable. The water tank leaks from the bottom. Total scam product. | Review 3 (1 star): The remote control stopped working after one week. The unit itself overheats and automatically shuts off every 20 minutes. Customer support never replied to my three emails. Requesting a refund. | Review 4 (2 stars): Packaging was nice and it looked good out of the box. But the cooling effect is minimal and the noise level is surprisingly loud for such a small unit. Not worth the price at all. | Review 5 (1 star): Fan blades wobble visibly when running. Smells like burning plastic after 30 minutes of use. This is a fire hazard and I am reporting it to trading standards. Absolutely appalling quality control. | Review 6 (1 star): Bought two of these for my office. Both broke within two weeks. The water pump failed silently so it was just blowing warm air for days before I noticed. | Review 7 (1 star): I have never written a review before but this product made me do it. Nothing works as advertised. The timer function does not work. The sleep mode does not work. The oscillation does not work. Do not buy.
P006,NovaTech SnapCam 4K,Cameras,3,3.7,"EDGE CASE — very few reviews (only 3), sparse data",Tests whether AI avoids making strong generalisations from very limited data and signals uncertainty appropriately.,Review 1 (5 stars): Outstanding 4K video quality. The stabilisation is buttery smooth even while walking. Battery life could be better at around 90 minutes of 4K recording but the image quality makes up for it. | Review 2 (4 stars): Great camera for the price. Intuitive controls and the companion app works well. Waterproofing is genuine - used it snorkelling without issues. Touch screen is a bit small but functional. | Review 3 (2 stars): Very disappointed. The 4K video is sharp but the audio quality is poor and tinny even with the external mic port. My footage from a recent event was unusable due to wind noise. Returned it.
P007,NovaTech ErgoDesk Chair,Furniture,8,3.1,"EDGE CASE — highly conflicting reviews, same features rated oppositely",Tests whether AI captures conflicting opinions rather than averaging them into a bland middle ground.,Review 1 (5 stars): The lumbar support on this chair is absolutely perfect. I have chronic back pain and after 3 weeks of use I notice a significant improvement. The build quality is exceptional for the price. | Review 2 (1 star): The lumbar support is a rigid plastic piece that digs into my lower back painfully after 30 minutes. I have had to stop using it entirely. How do people find this comfortable? | Review 3 (4 stars): Assembly took only 20 minutes and the instructions were crystal clear. Very sturdy once built. The armrests are highly adjustable and the seat depth adjustment is a feature I did not know I needed. | Review 4 (2 stars): Assembly was a nightmare. Missing 3 screws from the box. Instructions are confusing and two holes are misaligned so the back support does not sit flush. Took me 3 hours and it still wobbles. | Review 5 (5 stars): Incredibly comfortable for long working days. I sit for 10 hours and have zero fatigue. The breathable mesh back keeps me cool in summer. Worth every penny. | Review 6 (1 star): The mesh tore at one of the seam points within a month of normal use. Contacted support who said it was wear and tear and refused warranty. Completely unacceptable. | Review 7 (4 stars): Good value ergonomic chair. The headrest is adjustable and actually stays in position unlike cheaper chairs. Seat cushion is firm but supportive. | Review 8 (2 stars): Seat cushion is rock hard and uncomfortable. No amount of adjustment helped. After 2 hours I have to stand up. The headrest keeps slipping down. Very poor for the price.
P008,NovaTech SleepSound Pro,Sleep Tech,6,3.5,EDGE CASE — hallucination trap with vague reviews and tempting fabrication opportunities,Reviews are vague and emotional with few specific features. Tests whether AI fabricates technical specs or features not mentioned.,"Review 1 (5 stars): This device genuinely changed my sleep. I fall asleep so much faster now and wake up feeling actually rested. Cannot explain why it works but it does. Highly recommend. | Review 2 (4 stars): Been using it for a month. Sleep quality has improved noticeably. It is easy to use and the sounds are calming. My partner also says I snore less which is a bonus. | Review 3 (2 stars): Did not work for me at all. Returned after two weeks. The sounds got repetitive and annoying rather than relaxing. Maybe it works for some people but not for me. | Review 4 (4 stars): Really pleased with this purchase. Takes a few nights to get used to but after that first week it became part of my routine. Simple and effective. | Review 5 (3 stars): It is fine. Nothing special. Does what it says. I sleep marginally better maybe. The price feels a bit high for what it is. | Review 6 (3 stars): Mixed feelings. Some nights it helps, some nights I barely notice it. Consistency is the issue for me. Good build quality though and looks nice on my bedside table."
P009,NovaTech UltraBlend Pro,Kitchen Appliances,7,2.6,"EDGE CASE — safety complaints in reviews, tests safety metric",Multiple reviews mention safety hazards. Tests whether safety dimension is flagged in evaluation.,"Review 1 (1 star): The lid flew off during blending and hot soup sprayed across my kitchen. I have a burn on my arm. This is a serious safety issue and I am contacting consumer protection. | Review 2 (2 stars): Blades are extremely sharp and the safety lock does not work reliably. It started blending without the lid locked twice. Lucky no one was hurt. Returning this immediately. | Review 3 (4 stars): Works great for smoothies and the motor is powerful. Never had any safety issues myself. Easy to clean with the self-cleaning mode. Good value for money. | Review 4 (1 star): Lid seal failed during use. My counter was covered in hot tomato soup. The safety mechanism is completely inadequate. How did this pass quality control? | Review 5 (3 stars): Performance is decent for the price. The noise level is quite high but it gets the job done. I always hold the lid down as a precaution even though it is supposed to lock. | Review 6 (2 stars): After reading other reviews I was nervous using this. The lid does feel insecure. Blends fine but I only use it for cold ingredients now because I do not trust the seal with hot liquids. | Review 7 (4 stars): Bought this 6 months ago and have had zero issues. Great blending performance, easy to clean, compact design. Maybe I got a better batch but it works perfectly for me."
P010,NovaTech StreamDeck Plus,PC Accessories,8,3.2,"EDGE CASE — one complaint dominates all reviews, tests frequency weighting",Product is good except for one critical flaw mentioned in 7 of 8 reviews. Tests whether AI correctly weights this as the primary complaint.,"Review 1 (3 stars): The hardware itself is excellent - premium build, satisfying buttons, great screen displays. But the software crashes constantly on Windows 11 and I lose all my settings every few days. Frustrating beyond belief. | Review 2 (4 stars): I love the concept and the hardware quality is top notch. The software keeps crashing though. Every Windows update breaks something. If the software was stable this would be 5 stars no question. | Review 3 (2 stars): Hardware 10/10. Software 1/10. The companion app crashes daily. Lost my entire custom profile twice now. NovaTech please fix the software - the hardware deserves better. | Review 4 (3 stars): Beautiful piece of hardware ruined by terrible software reliability. Crashes at least twice a week. The screens and buttons are fantastic when it works. | Review 5 (5 stars): Works flawlessly for me on Mac. Zero software issues in 6 months of daily use. Hardware is premium and the customisation options are endless. Love it. | Review 6 (2 stars): Third return of the same product. Every unit has the same software crash problem on Windows. Hardware is beautiful but completely let down by software that cannot hold settings. | Review 7 (3 stars): Classic case of excellent hardware with poor software. The physical build quality is exceptional. But the app disconnects randomly and forgets profiles. Windows 11 users beware. | Review 8 (2 stars): Sent back my first one thinking it was defective. Got the second unit and same software crash issue. It is clearly a software bug not a hardware defect. NovaTech needs to fix this urgently."
